0,1
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:74"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:4estbERFQse6si6NKlsHdQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-11-24 11:13:59"") OR ([ds6w:modified]>""2022-12-08 10:31:50"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:4estbERFQse6si6NKlsHdQ"" that were modified between November 24, 2022, 11:13:59 and December 8, 2022, 10:31:50."
"[ds6w:resourceUid]:(""iam:yvp"" BOR ""iam:fhh"" BOR ""iam:prt4"")","Find me resources with resource UID iam:yvp, iam:fhh, or iam:prt4."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:LF2Gs7nSQfyvWoefmFWjaw"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:hghXHsn2QLaYPgG18GGZZg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-11-22 13:19:31"") OR ([ds6w:modified]>""2024-05-20 20:25:58"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:hghXHsn2QLaYPgG18GGZZg"" that were modified before November 22, 2022, 13:19:31 or after May 20, 2024, 20:25:58."
"[ds6w:resourceUid]:(""iam:g5t"")",Find the resource with the UID iam:g5t.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:533"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:DOIAj2VmTlmwaJxOrf1HnQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-11-14 18:31:53"") OR ([ds6w:modified]>""2023-01-06 01:01:07"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:DOIAj2VmTlmwaJxOrf1HnQ"" that were modified before November 14, 2022, 18:31:53 or after January 6, 2023, 01:01:07."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:44"")",Find the resource with the given UID.
"[ds6w:resourceUid]:(""iam:bta2"" BOR ""iam:kyi4"" BOR ""edbfdcae-ca81-4cdd-a8de-17d8a45a8591"" BOR ""iam:yh4"")","Find resources with resource UID equal to ""iam:bta2"" or ""iam:kyi4"" or ""edbfdcae-ca81-4cdd-a8de-17d8a45a8591"" or ""iam:yh4""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1URwuJDnQ66co73vWF-aPw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-04-16 01:32:46"") OR ([ds6w:modified]>""2024-05-01 07:32:44"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:1URwuJDnQ66co73vWF-aPw"" that were modified before April 16, 2021, or after May 1, 2024."
[ds6w:label]:add*,Find all documents with labels containing the
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:-oJmMmLIR6K4XK1xoafMbA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-10-18 16:44:53"") OR ([ds6w:modified]>""2024-05-16 04:14:58"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:-oJmMmLIR6K4XK1xoafMbA"" that were modified before October 18, 2021, 4:44:53 PM or after May 16, 2024, 4:14:58 AM."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:22"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2009-04-08 18:00:18"") OR ([ds6w:modified]>""2024-05-20 09:52:50"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:22"" that were created before April 8, 2009, or after May 20, 2024."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:F_2oPs0HR4e4kCPyuMkmrA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-04-29 00:22:32"") OR ([ds6w:modified]>""2022-05-12 02:55:16"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:F_2oPs0HR4e4kCPyuMkmrA"" that were modified before April 29, 2022, or after May 12, 2022."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:506"")",Find the resource with the given UID.
[ds6w:resourceUid]:(33458890-52fe-4e51-a723-c77a4aa9f40e OR 7d2dc9e9-d495-4aa8-814c-671756797284 OR 6c776055-ee68-486a-8881-f0fb54eddc55 OR 1e7ecf37-d28c-4d67-b3b9-8f3a50b49a57 OR 9888556d-56be-41ef-9acf-c7dd9e36fd47 OR a920dbc5-941e-4126-a0ce-ba514b13df8b OR 9935a1b0-2b10-423b-83ff-694268539c12 OR a6cab2f9-7a5a-4bb3-9261-24c89ba1a10d OR a5b62fba-ca97-4532-bce1-93061acba5da OR e95e3cf9-28fe-42f0-a7aa-42bef87df689 OR 68343dcd-3bc6-4f92-b14a-627fd4c4781d OR 9a73925b-5548-479c-bd0d-445fafb4773b OR 9dd3460a-6852-4229-820e-f27219ef68b4 OR a6f4fa8a-30d0-4911-85ba-8217f99963f8 OR e50fd312-e00b-488f-8b78-9e11c81d008b OR b0cdc6d4-60f3-40b1-a138-96ccac0cfcae OR 8711ec06-0054-4684-8847-f1382a002b33 OR 2062fd36-9013-4cf8-9794-0480f2893e88 OR fa8be1c0-e661-4520-a0df-b129f212fe0c OR ef2f91fc-f992-4b87-8539-f859cc9ffc7e OR b4e477ca-a645-441b-a124-d4f0a4df1288 OR 07c28d8a-1627-48b1-b512-81f47e180557 OR 6cbd0f51-385f-41a5-8b9d-5293750a8301 OR 48e121e7-69bd-4ad9-bbcc-2bdc84bc8ee7 OR aae340e4-9db5-4dc7-b627-f80f509d0053 OR a1ea482c-1ebb-44da-9ce9-fd6adf609599 OR 90c39300-579c-4f9f-b4a3-333983b3bd3e OR 87705ab2-8bfa-44d9-90df-f35105904d64 OR ba6a5c32-90ff-442f-b36c-21c1f6f453f5),"Here is the natural language equivalent for the given UQL query:

""Find resources with UIDs 33458890-52fe-4e51-a723-c77a4aa9f40e, 7d2dc9e9-d495-4aa8-814c-671756797284, 6c776055-ee68-486a-8881-f0fb54eddc55, 1e7ecf37-d28c-4d67-b3b9-8f3a50b49a57, 9888556d-56be-41ef-9acf-c7dd9e36fd47, a920dbc5-941e-4126-a0ce-ba514b13df8b, 9935a1b0-2b10-423b-83ff-694268539c12, a6cab2f9-7a5a-4bb3-9261-24c89ba1a10d, a5b62fba-ca97-4532-bce1-93061acba5da, e95e3cf9-28fe-42f0-a7aa-42bef87df689, 68343dcd-3bc6-4f92-b14a-627fd4c4781d, 9a73925b-5548-479c-bd0d-445fafb4773b, 9dd3460a-6852-4229-820e-f27219ef68b4, a6f4fa8a-30d0-4911-85ba-8217f99963f8, e50fd312-e00b-488f-8b78-9e11c81d008b, b0cdc6d4-60f3-40b1-a138-96ccac0cfcae, 8711ec06-0054-4684-8847-f1382a002b33, 2062fd36-9013-4cf8-9794-0480f2893e88, fa8be1c0-e661-4520-a0df-b129f212fe0c, ef2f91fc-f992-4b87-8539-f859cc9ffc7e, b4e477ca-a"
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:OEjuhIDfRXKZ53nG4T-SJQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-10-25 14:17:10"") OR ([ds6w:modified]>""2024-05-13 11:05:29"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:OEjuhIDfRXKZ53nG4T-SJQ"" that were modified before October 25, 2023, 14:17:10 or after May 13, 2024, 11:05:29."
[ds6w:resourceUid]:(7d2dc9e9-d495-4aa8-814c-671756797284 OR a920dbc5-941e-4126-a0ce-ba514b13df8b),Find resources with resource UIDs 7d2dc9e9-d495-4aa8-814c-671756797284 or a920dbc5-941e-4126-a0ce-ba514b13df8b.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:119"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2009-10-27 11:40:33"") OR ([ds6w:modified]>""2017-07-03 13:54:48"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:119"" that were created before October 27, 2009, 11:40:33 AM or after July 3, 2017, 1:54:48 PM."
"([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:edjCpG0zQEyKWv45QnOeqg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1)))","Find all posts, ideas, or questions within the community ""swym:215dsi0708:DSEXT001:community:edjCpG0zQEyKWv45QnOeqg"" that have a type of Post, Idea, or Question, or are Wikitree pages with visibility set to 1."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:PV4JThTlQmidQJpooiLtZQ"")",Find the resource with the given UID.
[ds6w:resourceUid]:(e7e65c0d-c2ab-46cd-a49c-f144196699aa OR fc736f05-d408-4952-9ed8-3022a8de06c3 OR ee476acc-b41d-4b37-918d-f279c9a885da OR de0aab44-bbb8-4c5c-80a9-ddef6d6f1862 OR 9f9ba4a5-7129-497b-bdfa-1aa2e9dda49f OR d1772cd2-4093-4893-b8c2-60a2fd543134 OR 3bd6abe7-3fac-40a1-a362-0dd4f2a11c60 OR 88af2b16-5e5a-4104-9975-3b6602e74e42),"Find resources with UIDs e7e65c0d-c2ab-46cd-a49c-f144196699aa, fc736f05-d408-4952-9ed8-3022a8de06c3, ee476acc-b41d-4b37-918d-f279c9a885da, de0aab44-bbb8-4c5c-80a9-ddef6d6f1862, 9f9ba4a5-7129-497b-bdfa-1aa2e9dda49f, d1772cd2-4093-4893-b8c2-60a2a"
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:oZmuiU-MQLuzNgQchVZhFg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-04-26 11:29:17"") OR ([ds6w:modified]>""2024-05-20 10:03:44"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:oZmuiU-MQLuzNgQchVZhFg"" that were modified before April 26, 2019, or after May 20, 2024."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1845"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2016-04-28 08:51:04"") OR ([ds6w:modified]>""2017-11-06 08:33:29"")))","Find all posts, ideas, or questions in the community 1845, created between April 28, 2016, and November 6, 2017, that are contained in the container with UID swym:215dsi0708:DSEXT001:community:1845."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:41"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2009-03-23 09:16:45"") OR ([ds6w:modified]>""2024-05-17 14:07:01"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:41"" that were created before March 23, 2009, 9:16:45 AM or after May 17, 2024, 2:07:01 PM."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:konwsZ_ISV6rTk78pYJsnA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-07-01 13:19:24"") OR ([ds6w:modified]>""2024-05-15 13:32:57"")))","Find all posts, ideas, or questions in the community ""konwsZ_ISV6rTk78pYJsnA"" created before July 1, 2020, or after May 15, 2024."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2330"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2017-06-01 09:26:51"") OR ([ds6w:modified]>""2024-05-15 20:21:04"")))","Find all posts, ideas, or questions in the community 2330, created before June 1, 2017, or after May 15, 2024, and contained within the container UID swym:215dsi0708:DSEXT001:community:2330."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:1209"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:VH5QvhSDTPuqkkSyxp93Aw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-05-25 18:51:48"") OR ([ds6w:modified]>""2024-03-18 16:05:39"")))","Find all posts, ideas, or questions in the community VH5QvhSDTPuqkkSyxp93Aw that were modified before May 25, 2021, 18:51:48 or after March 18, 2024, 16:05:39."
"[ds6w:modified] >= ""2024-05-21T04:54:07Z"" AND ([ds6w:type]:DriveFile OR [ds6w:type]:DriveFolder)","Find all documents modified on or after May 21, 2024, 4:54:07 AM, that are either Drive Files or Drive Folders."
"[ds6w:resourceUid]:(""iam:jsr18"" BOR ""185aac14-8e17-4996-a539-1960bd3f5b1f"" BOR ""iam:bcc"" BOR ""iam:agt2"" BOR ""iam:dmy7"" BOR ""iam:uij"" BOR ""iam:h45"" BOR ""056a9852-7038-46bc-a125-7b9bc4b377f5"")","Find resources with resource UID equal to iam:jsr18, 185aac14-8e17-4996-a539-1960bd3f5b1f, iam:bcc, iam:agt2, iam:dmy7, iam:uij, iam:h45, or 056a9852-7038-46bc-a125-7b9bc4b377f5."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:yhIWQJlzTBKczsCgCSmEqA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-08-11 08:43:26"") OR ([ds6w:modified]>""2024-05-21 05:51:59"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:yhIWQJlzTBKczsCgCSmEqA"" that were modified before August 11, 2020, or after May 21, 2024."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:7e6F0aSvTq66xr_UqxOajw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-09-15 14:32:50"") OR ([ds6w:modified]>""2024-05-20 20:04:25"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:7e6F0aSvTq66xr_UqxOajw"" that were modified before September 15, 2022, 14:32:50 or after May 20, 2024, 20:04:25."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2250"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2017-04-03 17:23:45"") OR ([ds6w:modified]>""2019-08-29 20:29:03"")))","Find all posts, ideas, or questions in the community 2250, created between 2017-04-03 17:23:45 and 2019-08-29 20:29:03, and modified by a specific container."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:npM9NBvfSAK-NeANdIYamw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-05-05 16:20:27"") OR ([ds6w:modified]>""2024-05-13 12:38:51"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:npM9NBvfSAK-NeANdIYamw"" that were created before May 5th, 2020 or after May 13th, 2024."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:665"")",Find the resource with the given UID.
"[ds6w:modified] >= ""2024-05-21T07:53:17Z"" AND ([ds6w:type]:DriveFile OR [ds6w:type]:DriveFolder)","Find all documents modified on or after May 21, 2024, 7:53:17 AM that are either Drive Files or Drive Folders."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:ISQRLLSaTvK1zmfJBJ7jdQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-06-08 09:15:24"") OR ([ds6w:modified]>""2024-05-16 04:56:01"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:ISQRLLSaTvK1zmfJBJ7jdQ"" that were created before June 8, 2018, or after May 16, 2024."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:225"")",Find the resource with the given UID.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:x06UMK44Rp6v0PBwLWe89Q"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:FoOgHH4PS96Qy5Tvt_wdTA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-03-22 14:01:47"") OR ([ds6w:modified]>""2024-05-10 14:26:57"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:FoOgHH4PS96Qy5Tvt_wdTA"" that were modified before March 22, 2023, 14:01:47 or after May 10, 2024, 14:26:57."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2BVF4DVaRsCqwL4d5PK79w"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-09-25 05:03:29"") OR ([ds6w:modified]>""2024-05-21 05:45:48"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:2BVF4DVaRsCqwL4d5PK79w"" that were modified before September 25, 2020, 5:03:29 AM or after May 21, 2024, 5:45:48 AM."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:MtxbpZFjSL2GxOBun9l0jQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-04-04 07:40:46"") OR ([ds6w:modified]>""2024-05-20 17:21:11"")))","Find all posts, ideas, or questions in the community ""MtxbpZFjSL2GxOBun9l0jQ"" that were created before April 4, 2023, or after May 20, 2024."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:Vtvl2DHeSoiDo1rtL5dqtw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-07-30 16:37:49"") OR ([ds6w:modified]>""2024-05-17 18:38:42"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:Vtvl2DHeSoiDo1rtL5dqtw"" that were modified before July 30, 2019, 16:37:49 or after May 17, 2024, 18:38:42."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:U4kLp8EoROqCcMAqygJkkg"")",Find the resource with the given UID.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:6YZiXVPrQleHQgR7g36UCw"")",Find the resource with the given UID.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:rPZXddgRSpKKnxaUGBpJEQ"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:29"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2009-03-26 16:57:33"") OR ([ds6w:modified]>""2010-04-20 16:50:47"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:29"" that were created before March 26, 2009, or after April 20, 2010."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:AAyxHWSLRnGO6ZiZ1tWeAg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-09-06 08:12:15"") OR ([ds6w:modified]>""2024-05-20 17:30:50"")))","Find all posts, ideas, or questions in the community AAyxHWSLRnGO6ZiZ1tWeAg, created between September 6, 2023, 8:12:15 AM and May 20, 2024, 5:30:50 PM."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:G4RhJIC0QdK9THCiOvt2IA"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:14NItnUKRrSmRkmI7UbaGg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-06-01 14:17:25"") OR ([ds6w:modified]>""2024-05-17 13:08:42"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:14NItnUKRSmRkmI7UbaGg"" that were modified before June 1, 2020, or after May 17, 2024."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:1830"")",Find the resource with the given UID.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:Hk4ge6a8Ryy-0j8-rr3H9Q"")",Find the resource with the given UID.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:okxXdoosTPeyiPiENd6imQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-01-23 19:26:44"") OR ([ds6w:modified]>""2024-05-17 22:37:22"")))","Find all posts, ideas, or questions in the community okxXdoosTPeyiPiENd6imQ that were modified before January 23, 2020, or after May 17, 2024."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:IAtt4z0tRg-2jE3ncsV_xA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-09-03 11:30:40"") OR ([ds6w:modified]>""2024-05-19 23:20:43"")))","Find all posts, ideas, or questions in the community ""swym:215dsi0708:DSEXT001:community:IAtt4z0tRg-2jE3ncsV_xA"" that were modified before September 3, 2020, 11:30:40 AM or after May 19, 2024, 11:20:43 PM."
